Size,Delaunay,Dijkstra,QuadtreeBuild,MST
50,32303100,2654700,1680900,1142800
100,4462900,136000,108600,977400
200,4382200,233900,310800,576400
400,4286900,306700,215800,1068400
800,3677200,256000,76000,575700
1600,2856500,827300,172000,727900
3200,3604200,1077400,109000,488400
6400,2764000,714700,65100,436800
